movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
Harry Potter and the Sorcerer's Stone,2001,PG,241527,152,"Adventure, Family, Fantasy",64.0,7.6,661618,317.58
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,120737,178,"Action, Adventure, Drama",92.0,8.8,1668153,315.54
Thor: Ragnarok,2017,PG-13,3501632,130,"Action, Adventure, Comedy",74.0,7.9,591822,315.06
Star Wars: Episode VI - Return of the Jedi,1983,PG,86190,131,"Action, Adventure, Fantasy",58.0,8.3,953857,309.13
Pirates of the Caribbean: Curse of the Black Pearl,2003,PG-13,325980,143,"Action, Adventure, Fantasy",63.0,8.0,1017413,305.41
Skyfall,2012,PG-13,1074638,143,"Action, Adventure, Thriller",81.0,7.7,631848,304.36
The Hobbit: An Unexpected Journey,2012,PG-13,903624,169,"Adventure, Fantasy",58.0,7.8,759335,303.00
Harry Potter and the Half-Blood Prince,2009,PG,417741,153,"Action, Adventure, Family",78.0,7.6,477024,301.96
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,926084,146,"Adventure, Family, Fantasy",65.0,7.7,481336,295.98
The Sixth Sense,1999,PG-13,167404,107,"Drama, Mystery, Thriller",64.0,8.1,914124,293.51
Up,2009,PG,1049413,96,"Animation, Adventure, Comedy",88.0,8.2,939436,293.00
Inception,2010,PG-13,1375666,148,"Action, Adventure, Sci-Fi",74.0,8.8,2076678,292.58
Star Wars: Episode V - The Empire Strikes Back,1980,PG,80684,124,"Action, Adventure, Fantasy",82.0,8.7,1163621,290.48
Harry Potter and the Goblet of Fire,2005,PG-13,330373,157,"Adventure, Family, Fantasy",81.0,7.7,550963,290.01
"Monsters, Inc.",2001,G,198781,92,"Animation, Adventure, Comedy",79.0,8.1,818683,289.92
Home Alone,1990,PG,99785,103,"Comedy, Family",63.0,7.6,490388,285.76
The Hangover,2009,R,1119646,100,Comedy,73.0,7.7,719197,277.32
Gravity,2013,PG-13,1454468,91,"Drama, Sci-Fi, Thriller",96.0,7.7,771110,274.09
Shrek,2001,PG,126029,90,"Animation, Adventure, Comedy",84.0,7.8,615691,267.67
Incredibles,2004,PG,317705,115,"Animation, Action, Adventure",90.0,8.0,659118,261.44
Jaws,1975,PG,73195,124,"Adventure, Thriller",87.0,8.0,544675,260.00
Captain America: The Winter Soldier,2014,PG-13,1843866,136,"Action, Adventure, Sci-Fi",70.0,7.7,739484,259.77
